rotation,method,ip_err
rht,mse-only,-213.324097
rht,mse-only,-612.31543
rht,mse-only,-281.46814
rht,mse-only,-628.640137
rht,mse-only,-737.341064
rht,mse-only,211.661377
rht,mse-only,206.288696
rht,mse-only,-258.908142
rht,mse-only,-267.436157
rht,mse-only,-223.039673
rht,mse-only,215.384888
rht,mse-only,-522.891174
rht,mse-only,-225.046143
rht,mse-only,-210.025879
rht,mse-only,-246.144653
rht,mse-only,-351.177612
rht,mse-only,213.190063
rht,mse-only,-236.981689
rht,mse-only,-684.566467
rht,mse-only,-239.04895
rht,mse-only,-676.520691
rht,mse-only,229.681641
rht,mse-only,-232.196777
rht,mse-only,-228.688232
rht,mse-only,-238.358032
rht,mse-only,-228.464233
rht,mse-only,-267.891907
rht,mse-only,-704.050781
rht,mse-only,-661.003174
rht,mse-only,-532.201782
rht,mse-only,-249.448669
rht,mse-only,-263.105652
rht,mse-only,-464.6633
rht,mse-only,-571.380127
rht,mse-only,-728.421265
rht,mse-only,-515.893433
rht,mse-only,-213.584351
rht,mse-only,-232.176392
rht,mse-only,-221.908203
rht,mse-only,-459.202332
rht,mse-only,-678.352295
rht,mse-only,-203.112671
rht,mse-only,-230.348389
rht,mse-only,-266.602051
rht,mse-only,-532.829773
rht,mse-only,-689.142578
rht,mse-only,-417.013367
rht,mse-only,-556.245178
rht,mse-only,-219.63562
rht,mse-only,-267.684448
rht,mse-only,-216.246826
rht,mse-only,-219.318726
rht,mse-only,-620.369141
rht,mse-only,-513.560486
rht,mse-only,-313.721924
rht,mse-only,-699.822998
rht,mse-only,211.318604
rht,mse-only,-226.262451
rht,mse-only,196.855957
rht,mse-only,-728.421265
rht,mse-only,-539.483093
rht,mse-only,-250.662842
rht,mse-only,-443.954102
rht,mse-only,-262.814575
rht,mse-only,-309.652496
rht,mse-only,-589.881897
rht,mse-only,-226.867554
rht,mse-only,212.151733
rht,mse-only,-578.018982
rht,mse-only,-530.121826
rht,mse-only,195.699646
rht,mse-only,-293.134979
rht,mse-only,-564.008118
rht,mse-only,-296.946014
rht,mse-only,-229.078918
rht,mse-only,211.672852
rht,mse-only,-223.12854
rht,mse-only,-697.947571
rht,mse-only,208.37793
rht,mse-only,-214.029419
rht,mse-only,-289.414062
rht,mse-only,-737.341064
rht,mse-only,213.966553
rht,mse-only,-614.227478
rht,mse-only,-216.357178
rht,mse-only,-696.91571
rht,mse-only,-229.62085
rht,mse-only,-687.034485
rht,mse-only,-492.63916
rht,mse-only,-416.093201
rht,mse-only,-223.128662
rht,mse-only,-245.056946
rht,mse-only,203.582642
rht,mse-only,-317.075958
rht,mse-only,-685.290527
rht,mse-only,-557.228027
rht,mse-only,-265.92749
rht,mse-only,-237.535889
rht,mse-only,-221.2854
rht,mse-only,-221.164185
rht,mse-only,-296.103638
rht,mse-only,-351.177612
rht,mse-only,-223.819092
rht,mse-only,-585.963745
rht,mse-only,-743.988831
rht,mse-only,222.12854
rht,mse-only,-230.151489
rht,mse-only,-247.654236
rht,mse-only,-206.102173
rht,mse-only,-227.650146
rht,mse-only,-734.641602
rht,mse-only,-695.620117
rht,mse-only,-223.47229
rht,mse-only,-675.025696
rht,mse-only,-672.154419
rht,mse-only,-218.023071
rht,mse-only,-552.655518
rht,mse-only,-223.039673
rht,mse-only,-226.439819
rht,mse-only,-229.45459
rht,mse-only,-258.478333
rht,mse-only,-225.046143
rht,mse-only,-264.801453
rht,mse-only,-215.29541
rht,mse-only,218.65564
rht,mse-only,217.088989
rht,mse-only,-233.985474
rht,mse-only,-314.550293
rht,mse-only,-231.11499
rht,mse-only,-235.92749
rht,mse-only,-247.638794
rht,mse-only,-221.710693
rht,mse-only,-228.027222
rht,mse-only,-242.632263
rht,mse-only,174.093445
rht,mse-only,-288.59314
rht,mse-only,-205.578247
rht,mse-only,-212.005371
rht,mse-only,-251.31488
rht,mse-only,-229.017822
rht,mse-only,-216.062134
rht,mse-only,-228.464233
rht,mse-only,-416.093201
rht,mse-only,-542.589355
rht,mse-only,-309.652496
rht,mse-only,-221.12793
rht,mse-only,-246.168274
rht,mse-only,-688.498108
rht,mse-only,-267.852661
rht,mse-only,-580.305115
rht,mse-only,217.708618
rht,mse-only,-242.400879
rht,mse-only,-697.221436
rht,mse-only,210.942261
rht,mse-only,-517.421875
rht,mse-only,-247.638794
rht,mse-only,-188.099243
rht,mse-only,204.615967
rht,mse-only,-228.468018
rht,mse-only,-276.271973
rht,mse-only,-626.060547
rht,mse-only,-218.33667
rht,mse-only,-737.341064
rht,mse-only,-215.898315
rht,mse-only,-522.079163
rht,mse-only,-221.274048
rht,mse-only,-243.190979
rht,mse-only,-236.132935
rht,mse-only,-536.650208
rht,mse-only,152.81604
rht,mse-only,-212.472168
rht,mse-only,-206.782227
rht,mse-only,-711.844299
rht,mse-only,-233.4552
rht,mse-only,-220.672485
rht,mse-only,-223.062378
rht,mse-only,-577.032349
rht,mse-only,-685.290527
rht,mse-only,-297.05368
rht,mse-only,220.368652
rht,mse-only,156.680542
rht,mse-only,-264.975708
rht,mse-only,-577.911865
rht,mse-only,-230.98938
rht,mse-only,-228.755493
rht,mse-only,-218.133057
rht,mse-only,-284.843079
rht,mse-only,197.143921
rht,mse-only,224.124512
rht,mse-only,-222.510254
rht,mse-only,229.199951
rht,mse-only,204.260376
rht,mse-only,-223.039673
rht,mse-only,-293.026367
rht,mse-only,227.59668
rht,mse-only,-212.491455
rht,mse-only,-297.05368
rht,mse-only,-223.497192
rht,mse-only,-567.062866
rht,mse-only,-296.780701
rht,mse-only,-546.268555
rht,mse-only,-542.5401
rht,mse-only,-212.513672
rht,mse-only,236.174805
rht,mse-only,170.545776
rht,mse-only,-628.876282
rht,mse-only,-235.001587
rht,mse-only,-508.762024
rht,mse-only,-454.058838
rht,mse-only,-721.425659
rht,mse-only,-227.733765
rht,mse-only,-292.402557
rht,mse-only,-221.216919
rht,mse-only,-199.18689
rht,mse-only,-219.208618
rht,mse-only,-241.111938
rht,mse-only,-699.964233
rht,mse-only,221.675171
rht,mse-only,-301.772461
rht,mse-only,-263.305725
rht,mse-only,-533.125427
rht,mse-only,223.143677
rht,mse-only,-253.484009
rht,mse-only,-533.178894
rht,mse-only,-250.151367
rht,mse-only,213.039551
rht,mse-only,208.876953
rht,mse-only,-220.665039
rht,mse-only,-223.841919
rht,mse-only,207.882446
rht,mse-only,-223.865356
rht,mse-only,-233.42334
rht,mse-only,-233.943481
rht,mse-only,-234.27478
rht,mse-only,-233.454712
rht,mse-only,-238.358032
rht,mse-only,-215.616699
rht,mse-only,-253.484009
rht,mse-only,-510.333618
rht,mse-only,-269.214172
rht,mse-only,-228.747437
rht,mse-only,-680.103577
