ctx,rotation,residual_length,sink_length,key_quant,rope_mode,bf16_layers,key_outliers,value_group_size,corpus,eval_tokens,tf_kl,tf_kl_median,tf_kl_p95,tf_argmax_match,n_nonfinite,ppl_bf16,ppl_turbo,ppl_ratio,decode_ms_bf16,decode_ms_turbo,peak_mb_bf16,peak_mb_turbo
4096,none,128,0,per_channel,post,0,0,0,wikitext,256,0.026663,0.014429,0.077168,0.8906,0,20.2149,20.5675,1.0174,24.666,45.867,1149.4,1115.2
4096,none,128,0,per_channel,pre,0,0,0,wikitext,256,0.024497,0.012044,0.078402,0.8828,0,20.2149,21.1145,1.0445,24.666,50.994,1149.4,1115.6
8192,none,128,0,per_channel,post,0,0,0,wikitext,256,0.021494,0.008066,0.093786,0.9414,0,4.2745,4.4214,1.0344,24.858,46.159,1341.0,1271.1
8192,none,128,0,per_channel,pre,0,0,0,wikitext,256,0.020479,0.009854,0.080389,0.9297,0,4.2745,4.4177,1.0335,24.858,51.054,1341.0,1271.8
16384,none,128,0,per_channel,post,0,0,0,wikitext,256,0.062625,0.03009,0.237049,0.8633,0,9.5423,9.6128,1.0074,24.885,46.353,1723.1,1583.2
16384,none,128,0,per_channel,pre,0,0,0,wikitext,256,0.03826,0.020961,0.135144,0.8984,0,9.5423,9.6837,1.0148,24.885,51.394,1723.1,1584.7
