layer,rotation,bits,method,sketch_m,realized_bits,ip_bias,ip_abs_bias,ip_rmse,attn_kl
6,none,4.0,mse-only,0,4.0,-0.03355,0.03355,1.962332,0.018131
6,none,4.0,prod-1b,64,4.25,-0.55459,0.55459,4.739658,0.170477
6,none,4.0,prod-2b,128,5.25,-0.119578,0.119578,3.263707,0.068718
6,none,4.0,prod-4b,256,7.25,-0.156146,0.156146,2.462766,0.035829
12,rht,2.0,mse-only,0,2.0,-1.486485,1.486485,25.967081,5.281149
12,rht,2.0,prod-1b,64,2.25,3.306378,3.306378,98.576843,40.27367
12,rht,2.0,prod-2b,128,3.25,-28.953831,28.953831,74.538612,20.569216
12,rht,2.0,prod-4b,256,5.25,-19.92234,19.92234,57.94772,19.008543
12,rht,2.5,mse-only,0,2.585,-2.075914,2.075914,17.776548,2.517851
12,rht,2.5,prod-1b,64,2.835,33.934372,33.934372,61.913631,16.469143
12,rht,2.5,prod-2b,128,3.835,25.541788,25.541788,46.379883,8.240592
12,rht,2.5,prod-4b,256,5.835,9.938224,9.938224,28.704155,5.692499
12,rht,3.0,mse-only,0,3.0,-0.412296,0.412296,13.563977,1.408959
12,rht,3.0,prod-1b,64,3.25,5.273747,5.273747,35.244751,7.244627
12,rht,3.0,prod-2b,128,4.25,1.092069,1.092069,23.91942,4.327249
12,rht,3.0,prod-4b,256,6.25,-0.81885,0.81885,16.065699,2.140599
12,rht,3.5,mse-only,0,3.4594,-0.156475,0.156475,9.266634,0.740787
12,rht,3.5,prod-1b,64,3.835,-1.026157,1.026157,22.02323,3.958791
12,rht,3.5,prod-2b,128,4.835,-3.165819,3.165819,14.924236,1.861471
12,rht,3.5,prod-4b,256,6.835,-0.539917,0.539917,10.126321,0.930433
12,rht,4.0,mse-only,0,4.0,0.458262,0.458262,5.835821,0.276596
12,rht,4.0,prod-1b,64,4.25,0.120505,0.120505,15.750917,1.947571
12,rht,4.0,prod-2b,128,5.25,-0.148612,0.148612,10.293426,0.903757
12,rht,4.0,prod-4b,256,7.25,0.273691,0.273691,7.200096,0.397216
12,none,2.0,mse-only,0,2.0,-3.820201,3.820201,32.191952,7.101978
12,none,2.0,prod-1b,64,2.25,20.605247,20.605247,114.307404,43.966064
12,none,2.0,prod-2b,128,3.25,-31.554289,31.554289,73.85466,27.829548
12,none,2.0,prod-4b,256,5.25,25.956959,25.956959,64.283554,17.373383
12,none,2.5,mse-only,0,2.585,-2.147028,2.147028,15.885568,2.449878
12,none,2.5,prod-1b,64,2.835,-17.057434,17.057434,57.833462,18.799746
12,none,2.5,prod-2b,128,3.835,-1.181806,1.181806,36.796871,11.355154
12,none,2.5,prod-4b,256,5.835,-11.66215,11.66215,28.406353,4.976043
12,none,3.0,mse-only,0,3.0,-0.707964,0.707964,12.164493,1.202152
12,none,3.0,prod-1b,64,3.25,2.207011,2.207011,32.764545,8.076431
12,none,3.0,prod-2b,128,4.25,-0.104127,0.104127,23.071581,6.979701
12,none,3.0,prod-4b,256,6.25,3.543764,3.543764,19.078426,2.539689
12,none,3.5,mse-only,0,3.4594,-0.54468,0.54468,8.668588,0.682631
12,none,3.5,prod-1b,64,3.835,-5.068681,5.068681,21.989084,3.482686
12,none,3.5,prod-2b,128,4.835,-3.973357,3.973357,15.98014,2.064294
12,none,3.5,prod-4b,256,6.835,-0.914272,0.914272,11.757605,1.480739
12,none,4.0,mse-only,0,4.0,-0.421525,0.421525,5.928631,0.298405
12,none,4.0,prod-1b,64,4.25,-0.951829,0.951829,15.934361,2.021353
12,none,4.0,prod-2b,128,5.25,-0.463361,0.463361,11.236669,1.178981
12,none,4.0,prod-4b,256,7.25,-0.897743,0.897743,8.777123,0.591325
18,rht,2.0,mse-only,0,2.0,-0.96283,0.96283,17.915846,1.464455
18,rht,2.0,prod-1b,64,2.25,-30.839466,30.839466,82.88015,18.508291
18,rht,2.0,prod-2b,128,3.25,-15.057365,15.057365,56.751026,11.377309
18,rht,2.0,prod-4b,256,5.25,-7.910927,7.910927,38.449936,5.786798
18,rht,2.5,mse-only,0,2.585,-0.269672,0.269672,8.992105,0.391484
18,rht,2.5,prod-1b,64,2.835,4.193917,4.193917,33.393745,5.602762
18,rht,2.5,prod-2b,128,3.835,-3.992497,3.992497,22.354382,2.215637
