rotation,method,ip_err
rht,direct-m512-o8,285.995972
rht,direct-m512-o8,320.214722
rht,direct-m512-o8,338.70459
rht,direct-m512-o8,368.505981
rht,direct-m512-o8,501.461365
rht,direct-m512-o8,232.913086
rht,direct-m512-o8,345.447632
rht,direct-m512-o8,311.973389
rht,direct-m512-o8,387.675598
rht,direct-m512-o8,446.960388
rht,direct-m512-o8,337.30658
rht,direct-m512-o8,238.688599
rht,direct-m512-o8,316.625122
rht,direct-m512-o8,326.557129
rht,direct-m512-o8,259.819824
rht,direct-m512-o8,380.353394
rht,direct-m512-o8,306.6521
rht,direct-m512-o8,373.89917
rht,direct-m512-o8,342.979126
rht,direct-m512-o8,389.216309
rht,direct-m512-o8,334.233765
rht,direct-m512-o8,388.008545
rht,direct-m512-o8,347.7948
rht,direct-m512-o8,258.755371
rht,direct-m512-o8,297.798584
rht,direct-m512-o8,276.624268
rht,direct-m512-o8,337.750854
rht,direct-m512-o8,349.506958
rht,direct-m512-o8,368.716919
rht,direct-m512-o8,245.926514
rht,direct-m512-o8,421.721924
rht,direct-m512-o8,178.893677
rht,direct-m512-o8,240.014526
rht,direct-m512-o8,384.558594
rht,direct-m512-o8,321.207031
rht,direct-m512-o8,401.559448
rht,direct-m512-o8,336.296143
rht,direct-m512-o8,364.150391
rht,direct-m512-o8,173.417969
rht,direct-m512-o8,378.501831
rht,direct-m512-o8,387.675598
rht,direct-m512-o8,384.556152
rht,direct-m512-o8,338.604492
rht,direct-m512-o8,323.647705
rht,direct-m512-o8,479.474915
rht,direct-m512-o8,218.863403
rht,direct-m512-o8,372.706299
rht,direct-m512-o8,361.214478
rht,direct-m512-o8,341.068359
rht,direct-m512-o8,335.504883
rht,direct-m512-o8,273.790283
rht,direct-m512-o8,256.610107
rht,direct-m512-o8,377.671265
rht,direct-m512-o8,344.33313
rht,direct-m512-o8,434.779419
rht,direct-m512-o8,389.479004
rht,direct-m512-o8,391.154175
rht,direct-m512-o8,324.562866
rht,direct-m512-o8,372.334229
rht,direct-m512-o8,363.170166
rht,direct-m512-o8,296.518677
rht,direct-m512-o8,302.067505
rht,direct-m512-o8,357.212891
rht,direct-m512-o8,435.923462
rht,direct-m512-o8,362.648193
rht,direct-m512-o8,410.542725
rht,direct-m512-o8,410.113525
rht,direct-m512-o8,370.517334
rht,direct-m512-o8,354.747681
rht,direct-m512-o8,335.504883
rht,direct-m512-o8,247.424927
rht,direct-m512-o8,376.895508
rht,direct-m512-o8,399.3573
rht,direct-m512-o8,361.214478
rht,direct-m512-o8,371.735596
rht,direct-m512-o8,470.573608
rht,direct-m512-o8,416.045288
rht,direct-m512-o8,388.481567
rht,direct-m512-o8,369.261841
rht,direct-m512-o8,508.059753
rht,direct-m512-o8,243.155762
rht,direct-m512-o8,379.310669
rht,direct-m512-o8,362.584473
rht,direct-m512-o8,248.911865
rht,direct-m512-o8,284.437988
rht,direct-m512-o8,369.71106
rht,direct-m512-o8,329.537598
rht,direct-m512-o8,360.185303
rht,direct-m512-o8,445.604431
rht,direct-m512-o8,353.768188
rht,direct-m512-o8,416.076721
rht,direct-m512-o8,267.272766
rht,direct-m512-o8,446.530579
rht,direct-m512-o8,438.624023
rht,direct-m512-o8,362.368774
rht,direct-m512-o8,318.417969
rht,direct-m512-o8,378.265747
rht,direct-m512-o8,500.899475
rht,direct-m512-o8,373.917725
rht,direct-m512-o8,225.674316
rht,direct-m512-o8,384.66394
rht,direct-m512-o8,250.782959
rht,direct-m512-o8,239.256348
rht,direct-m512-o8,274.25946
rht,direct-m512-o8,314.220337
rht,direct-m512-o8,399.99353
rht,direct-m512-o8,327.636475
