layer,rotation,method,m,n_outliers,realized_bits,ip_bias,ip_abs_bias,ip_rmse,attn_kl
12,none,prod-1b,64,0,4.25,-0.951829,0.951829,15.934361,2.021353
18,rht,direct,64,0,1.25,20.706661,20.706661,42.219009,7.563905
18,rht,direct+out,64,8,4.0,18.758791,18.758791,39.059437,7.672588
18,rht,direct,128,0,2.25,18.064726,18.064726,28.924971,2.945911
18,rht,direct+out,128,8,5.0,10.608114,10.608114,25.94298,3.107267
18,rht,direct,256,0,4.25,10.959162,10.959162,20.649158,1.757799
18,rht,direct+out,256,8,7.0,9.99691,9.99691,18.081005,1.330343
18,rht,direct,512,0,8.25,-2.774304,2.774304,12.960732,0.606176
18,rht,direct+out,512,8,11.0,3.322603,3.322603,11.92674,0.626127
18,rht,mse-only,0,0,2.0,-0.96283,0.96283,17.915846,1.464455
18,rht,prod-1b,64,0,2.25,-30.839466,30.839466,82.88015,18.508291
18,rht,mse-only,0,0,3.0,0.676368,0.676368,7.873955,0.245891
18,rht,prod-1b,64,0,3.25,-3.233203,3.233203,22.524393,2.616449
18,rht,mse-only,0,0,4.0,0.160119,0.160119,3.405705,0.047705
18,rht,prod-1b,64,0,4.25,-0.790845,0.790845,9.685349,0.387203
18,none,direct,64,0,1.25,-54.848221,54.848221,64.707199,4.239767
18,none,direct+out,64,8,4.0,-8.294971,8.294971,25.923367,3.135132
18,none,direct,128,0,2.25,-37.719379,37.719379,44.584751,2.142353
18,none,direct+out,128,8,5.0,-11.231365,11.231365,21.450157,1.18311
18,none,direct,256,0,4.25,-20.031553,20.031553,26.627281,1.083225
18,none,direct+out,256,8,7.0,-6.182027,6.182027,14.900816,0.677062
18,none,direct,512,0,8.25,-18.013083,18.013083,22.610886,0.725138
18,none,direct+out,512,8,11.0,-3.4821,3.4821,10.30101,0.363128
18,none,mse-only,0,0,2.0,-7.754439,7.754439,15.797869,1.879926
18,none,prod-1b,64,0,2.25,-60.729042,60.729042,102.429306,29.313316
18,none,mse-only,0,0,3.0,-0.718158,0.718158,9.43176,0.33769
18,none,prod-1b,64,0,3.25,-4.944453,4.944453,27.413891,2.982267
18,none,mse-only,0,0,4.0,0.18757,0.18757,4.068105,0.060709
18,none,prod-1b,64,0,4.25,0.768358,0.768358,13.014222,0.784863
23,rht,direct,64,0,1.25,10.711751,10.711751,26.971632,2.816021
23,rht,direct+out,64,8,4.0,11.571404,11.571404,19.443895,1.499511
23,rht,direct,128,0,2.25,17.757681,17.757681,23.89673,1.011551
23,rht,direct+out,128,8,5.0,15.882129,15.882129,19.424831,0.721859
23,rht,direct,256,0,4.25,17.090874,17.090874,21.170368,0.54254
23,rht,direct+out,256,8,7.0,3.948896,3.948896,11.103153,0.521346
23,rht,direct,512,0,8.25,3.793724,3.793724,10.411186,0.357574
23,rht,direct+out,512,8,11.0,-0.949675,0.949675,7.1907,0.217688
23,rht,mse-only,0,0,2.0,-2.406653,2.406653,11.288765,0.878168
23,rht,prod-1b,64,0,2.25,-16.123158,16.123158,46.846767,10.847582
23,rht,mse-only,0,0,3.0,0.541767,0.541767,4.880164,0.155334
23,rht,prod-1b,64,0,3.25,3.276803,3.276803,12.080611,0.950476
23,rht,mse-only,0,0,4.0,-0.044769,0.044769,2.369935,0.03165
23,rht,prod-1b,64,0,4.25,0.019628,0.019628,5.620149,0.193979
23,none,direct,64,0,1.25,-20.201881,20.201881,29.656569,1.592924
23,none,direct+out,64,8,4.0,-5.199054,5.199054,14.681304,0.910834
23,none,direct,128,0,2.25,-11.320482,11.320482,17.734259,1.025947
23,none,direct+out,128,8,5.0,-6.872811,6.872811,11.478245,0.403517
23,none,direct,256,0,4.25,-0.780183,0.780183,11.78759,0.583848
23,none,direct+out,256,8,7.0,-0.595861,0.595861,7.084322,0.277537
23,none,direct,512,0,8.25,-7.196697,7.196697,11.224609,0.37192
23,none,direct+out,512,8,11.0,-4.536454,4.536454,6.723482,0.145514
23,none,mse-only,0,0,2.0,-2.040056,2.040056,16.325354,1.589475
23,none,prod-1b,64,0,2.25,32.765598,32.765598,75.449074,17.105759
23,none,mse-only,0,0,3.0,-1.149302,1.149302,6.939851,0.285248
23,none,prod-1b,64,0,3.25,5.460257,5.460257,19.851954,2.023235
23,none,mse-only,0,0,4.0,0.284677,0.284677,2.874203,0.058717
23,none,prod-1b,64,0,4.25,1.183682,1.183682,8.989037,0.45808
