ctx,rotation,residual_length,sink_length,key_quant,rope_mode,bf16_layers,key_outliers,value_group_size,corpus,eval_tokens,tf_kl,tf_kl_median,tf_kl_p95,tf_argmax_match,n_nonfinite,ppl_bf16,ppl_turbo,ppl_ratio,decode_ms_bf16,decode_ms_turbo,peak_mb_bf16,peak_mb_turbo
4096,none,128,0,per_channel,post,0,0,0,wikitext,256,0.026663,0.014429,0.077168,0.8906,0,20.2149,20.5675,1.0174,25.128,46.614,1149.4,1115.2
4096,none,128,0,per_channel,post,0,0,32,wikitext,256,0.028512,0.01371,0.096022,0.9062,0,20.2149,21.6687,1.0719,25.128,47.429,1149.4,1116.0
8192,none,128,0,per_channel,post,0,0,0,wikitext,256,0.021494,0.008066,0.093786,0.9414,0,4.2745,4.4214,1.0344,25.276,46.576,1341.0,1271.1
8192,none,128,0,per_channel,post,0,0,32,wikitext,256,0.032884,0.00763,0.144795,0.9258,0,4.2745,4.4271,1.0357,25.276,47.193,1341.0,1272.5
16384,none,128,0,per_channel,post,0,0,0,wikitext,256,0.062625,0.03009,0.237049,0.8633,0,9.5423,9.6128,1.0074,25.27,46.706,1723.1,1583.2
16384,none,128,0,per_channel,post,0,0,32,wikitext,256,0.046006,0.023227,0.159843,0.8672,0,9.5423,9.7676,1.0236,25.27,47.336,1723.1,1586.2
